DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4266.2,2.673,69.21435562,0,0.0038,1,0.761889314,0.174606539,0.063455981,0,0,0,122.7857544
4266.3,2.66676,69.48743426,0,0.0038,1,0.78864,0.145696,0.065564,0,0,0,123.8578122
4266.4,2.65328,69.64467795,0,0.0038,1,0.826544,0.106328,0.067076,0,0,0,124.7392546
4266.5,2.64456,69.63037547,0,0.0038,1,0.858492,0.07304,0.06842,0,0,0,125.3108644
4266.6,2.65164,69.43433746,0,0.0038,1,0.837516,0.092704,0.069728,0,0,0,125.5724894
4266.7,2.672598055,69.0875374,0,0.0038,1,0.818025365,0.1148641,0.06715886,0,0,0,125.6342601
4266.8,2.680116732,68.67427609,0,0.0038,1,0.799829378,0.165233072,0.034939885,0,0,0,125.454828
4266.9,2.65981,68.2790058,0.002303,0.004339,1,0.7832,0.212098,0.002397,0,0,0.002303,125.0731556
4267,2.64204,67.86840473,0.003181,0.004508,1,0.787169,0.209701,0,0,0,0.003181,124.5338834
4267.1,2.647787822,67.43109019,0.000821218,0.003953978,1,0.797286888,0.186462273,0.015429621,0,0,0.000821218,123.7372326
4267.2,2.659853683,66.92924921,0,0.0038,1,0.800757909,0.16518171,0.034060381,0,0,0,122.6414712
4267.3,2.66208,66.28360263,0,0.0038,1,0.790932,0.177364,0.031704,0,0,0,121.2144783
4267.4,2.6552,65.66060586,0,0.0038,1,0.753168,0.22336,0.023472,0,0,0,119.4169799
4267.5,2.65048,65.1440744,0,0.0038,1,0.710696,0.272364,0.01694,0,0,0,117.4005978
4267.6,2.65052,64.46203753,0,0.0038,1,0.665024,0.327868,0.007108,0,0,0,115.3071581
4267.7,2.64568,63.79580173,0.002496,0.004376,1,0.58422,0.413076,0.000208,0,0,0.002496,113.2854274
4267.8,2.633751945,63.39359453,0.007712659,0.005773126,0.894178403,0.512735168,0.479552173,0,0,0.001111368,0.006601291,111.446824
4267.9,2.622093796,63.19676845,0.01538041,0.00899255,0.741889134,0.479884832,0.504734758,0,0,0.004204274,0.011176136,109.8570035
4268,2.61163,63.34238205,0.021531,0.012088,0.689777,0.477528,0.500941,0,0,0.00669,0.014841,108.5238532
4268.1,2.598671766,63.80733797,0.024495828,0.01420904,0.668658971,0.476234771,0.499318081,0,0,0.008124896,0.016370932,107.3700758
4268.2,2.585737094,64.35750804,0.045966833,0.074045027,0.68105011,0.324351645,0.608102232,0.021631114,0,0.014206677,0.031760155,106.5705821
4268.3,2.56748,64.92150469,0.070688,0.172508,0.69584,0.156328,0.734324,0.038612,0,0.021572,0.049164,106.2198416
4268.4,2.5358,65.51317837,0.08138,0.318244,0.665156,0.129696,0.766,0.022872,0,0.02744,0.053992,106.1925782
4268.5,2.51116,66.09410079,0.088208,0.429636,0.645204,0.111748,0.78742,0.012672,0,0.031312,0.056896,106.571562
4268.6,2.51084,66.71729556,0.081376,0.318336,0.667284,0.123316,0.775628,0.019732,0,0.027208,0.054168,107.3584296
4268.7,2.52268,67.42745713,0.073768,0.198488,0.680628,0.137344,0.762088,0.0268,0,0.023532,0.050236,108.3667269
4268.8,2.52616845,67.98172557,0.073686524,0.197851764,0.668911177,0.137789893,0.76510115,0.023422433,0,0.024386524,0.0493,109.5843449
4268.9,2.51514131,68.21464223,0.076101719,0.22666474,0.638305916,0.13365716,0.771726353,0.018465945,0,0.027582878,0.048518841,110.891452
4269,2.51782,68.20215762,0.077024,0.236861,0.596325,0.133802,0.771073,0.018099,0,0.031088,0.045936,112.131274
4269.1,2.547933929,67.82587715,0.07073691,0.175042722,0.596028763,0.155206359,0.749951515,0.024205216,0,0.028681619,0.042055291,113.2332434
4269.2,2.581081714,67.22651737,0.05692008,0.089307623,0.634831589,0.200156104,0.712377479,0.030646338,0,0.021019133,0.035900947,114.2346082
4269.3,2.59636,66.70033307,0.043864,0.040848,0.665608,0.246652,0.678384,0.031104,0,0.014712,0.0292,115.2541058
4269.4,2.60288,66.35346863,0.038304,0.029736,0.669304,0.274208,0.662492,0.024944,0,0.012716,0.02564,116.3580429
4269.5,2.60744,66.26622116,0.029652,0.020204,0.70918,0.309504,0.637484,0.023312,0,0.008988,0.020712,117.5423956
4269.6,2.61524,66.40959002,0.014408,0.008988,0.872028,0.367084,0.591032,0.027424,0,0.002808,0.011652,118.7242599
4269.7,2.62632,66.94294717,0.003328,0.004632,1,0.447424,0.505976,0.043272,0,0,0.003328,119.6988215
4269.8,2.645010226,67.91118735,0,0.0038,1,0.512472048,0.429034708,0.058541556,0,0,0,120.3718392
4269.9,2.65755911,69.22161722,0,0.0038,1,0.539304448,0.401751463,0.058995271,0,0,0,120.8632572
4270,2.64716,70.76071574,0,0.0038,1,0.598209,0.365523,0.036268,0,0,0,121.3914642
4270.1,2.638513116,72.28145917,4.87E-05,0.0038,1,0.663143561,0.330445111,0.006362639,0,0,4.87E-05,122.2491869
4270.2,2.642818653,73.6482763,0.000292746,0.003848187,1,0.721235751,0.278471503,0,0,0,0.000292746,123.5837175
4270.3,2.64608,74.73600327,0.00026,0.003852,1,0.813652,0.183976,0.002112,0,0,0.00026,125.5052188
4270.4,2.64256,75.54807744,0,0.0038,1,0.866468,0.1299,0.003632,0,0,0,127.7784559
