DEPTH,Density,DTCRT,Porosity,Permeability,Water_saturation,Clay,Sand,Calcite,VUGA(Gas),VUOI(CO2),VUWA(Water),DTDRT
4361.8,2.57914702,65.3151752,0.085102,0.364938,0.418057999,0.164206,0.566494,0.184098,0,0.049527,0.035575,120.3565599
4361.9,2.54974502,65.52993293,0.094212,0.672728998,0.56674,0.122295,0.700994,0.082399,0,0.040986,0.053226,118.5179218
4362,2.49152906,65.98017525,0.1136,1.930950995,0.539453,0.050147,0.829217,0.006936,0,0.052435,0.061165,116.8198428
4362.1,2.446544,66.55863639,0.122911398,2.773240024,0.540602463,0.021116417,0.855921552,0,0,0.056473429,0.066437969,115.3981834
4362.2,2.447918948,67.26722327,0.119107472,2.287854783,0.465574295,0.033385571,0.847506957,0,0,0.063427197,0.055730147,114.4871155
4362.3,2.450679,68.03000537,0.11445,1.770100001,0.34285,0.04345,0.84205,0,0,0.0752,0.03935,114.1576528
4362.4,2.454793252,68.76092992,0.112203673,1.562162557,0.310725392,0.04899192,0.838704407,0,0,0.077355509,0.034898531,114.3942492
4362.5,2.460278661,69.50409785,0.112240455,1.561750269,0.337536086,0.047594255,0.840114422,0,0,0.074339916,0.037900539,115.3210634
4362.6,2.46578437,70.3058424,0.113192,1.64,0.379146,0.045049,0.841759,0,0,0.070285,0.042907,116.8210964
4362.7,2.47670011,71.15122755,0.101987,1.085838003,0.431598,0.083271,0.806951,0.007742,0,0.058406,0.043581,118.8320228
4362.8,2.49323862,71.7870596,0.078924,0.310004001,0.571181999,0.161269,0.727884,0.031921,0,0.035013,0.043862,121.4035449
4362.9,2.55569893,72.04072585,0.059807,0.102104,0.836391999,0.257646,0.483811001,0.198786999,0,0.011016,0.04874,124.311549
4363,2.62003411,71.94091575,0.051359,0.059777,1,0.353152,0.361029,0.234460001,0,0,0.051359,127.3130366
4363.1,2.627743875,71.44368671,0.053466815,0.067630661,1,0.409020894,0.388282406,0.149180523,0,0,0.053466815,129.9899965
4363.2,2.650437087,70.70037774,0.055202409,0.073409905,1,0.465098268,0.197046691,0.282602497,0,0,0.055202409,132.0125824
4363.3,2.6735,69.91078609,0.0523,0.063,1,0.51575,0.0336,0.39835,0,0,0.0523,133.1084042
4363.4,2.668532612,69.00427513,0.050846014,0.058037318,1,0.524875002,0.00273007,0.421548913,0,0,0.050846014,133.0724672
4363.5,2.664982747,67.89927732,0.050171567,0.056163838,1,0.51624058,0.023779086,0.409808766,0,0,0.050171567,132.1991143
4363.6,2.66796,66.69568544,0.024939,0.028586,1,0.716650999,0.026873,0.231537001,0,0,0.024939,130.4708158
4363.7,2.67049,65.47611956,0,0.0038,1,0.925361,0.022454,0.052185,0,0,0,128.0348773
4363.8,2.671,64.31138127,0,0.0038,1,0.901031,0.056413,0.042556,0,0,0,125.3077142
4363.9,2.66757,63.43403819,0,0.0038,1,0.863666,0.098594,0.03774,0,0,0,122.3323992
4364,2.66008,62.89941917,0,0.0038,1,0.843628,0.122338,0.034083,0,0,0,119.3416692
4364.1,2.662909959,62.52348058,0,0.0038,1,0.838152738,0.133693237,0.028204668,0,0,0,116.572727
4364.2,2.670498611,62.34562713,0,0.0038,1,0.820986249,0.156160834,0.022852917,0,0,0,114.2361687
4364.3,2.664,62.28522782,0.0022,0.0043,1,0.78045,0.20645,0.0109,0,0,0.0022,112.4857168
4364.4,2.641114377,62.20212545,0.009711755,0.006636775,1,0.73622081,0.254067434,0,0,0,0.009711755,111.2022041
4364.5,2.617575331,61.99492175,0.015001004,0.0085,1,0.736029249,0.248920249,0,0,0,0.015001004,110.3511671
