DEPTH(TVD),BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3075.3,2.31,81.11743,0.2042434,206.6039,1,0.06609331,0.7296633,0,0,0,0.2042434
3075.4,2.31,81.07929661,0.20946395,269.65395,0.999230375,0.050593777,0.739942325,0,0,0.000164453,0.2092995
3075.5,2.31,81.05708356,0.21474685,349.2175,0.9957778,0.03324206,0.75187875,0.000132335,0,0.000910364,0.2138365
3075.6,2.31,81.05042514,0.21870415,423.960675,0.989771,0.020527945,0.757573175,0.003194718,0,0.002242975,0.216461175
3075.7,2.31,81.07585244,0.22129095,481.08865,0.981735,0.012836707,0.754608475,0.011263875,0,0.004042174,0.217248725
3075.8,2.31,81.11447907,0.22212345,501.190925,0.979938175,0.007108437,0.760425725,0.010342378,0,0.004455905,0.21766755
3075.9,2.31,81.16844352,0.221232125,480.0159,0.976732325,0.0028482,0.76998215,0.005937502,0,0.005146589,0.216085575
3076,2.312478929,81.23694921,0.218428687,419.4049122,0.978038984,0,0.778120224,0.003451112,0,0.004808023,0.213620662
3076.1,2.322452598,81.31062922,0.213461068,328.4693788,0.990507935,0.001729135,0.781144708,0.003665113,0,0.002039238,0.211421835
3076.2,2.332554938,81.38981248,0.208113509,251.3595632,1,0.012511275,0.779375214,1.64E-14,0,8.93E-15,0.208113509
3076.3,2.342511981,81.46880713,0.203458045,200.1026807,1,0.037656679,0.758885224,0,0,0,0.203458045
3076.4,2.3475,81.54676407,0.199612625,164.31545,1,0.07139099,0.728996375,0,0,0,0.199612625
3076.5,2.3375,81.62145698,0.201510575,180.888075,1,0.09024416,0.707707975,0.000537326,0,0,0.201510575
3076.6,2.325,81.6905346,0.2052313,218.326775,1,0.086656915,0.70566665,0.00244512,0,0,0.2052313
3076.7,2.3075,81.75364252,0.209361075,266.34335,1,0.071156765,0.7169827,0.002499428,0,0,0.209361075
3076.8,2.3,81.80549279,0.210325875,279.291925,1,0.06136317,0.72831095,0,0,0,0.210325875
3076.9,2.3,81.83962693,0.21084945,286.795525,1,0.057605843,0.7315447,0,0,0,0.21084945
3077,2.3,81.85454032,0.211804125,300.572575,1,0.059225207,0.728970625,0,0,0,0.211804125
3077.1,2.3,81.8359744,0.210775318,285.7243143,1,0.066149353,0.723075346,0,0,0,0.210775318
3077.2,2.3,81.77847556,0.209962714,274.3938746,1,0.069094552,0.719893124,0.001049629,0,0,0.209962714
3077.3,2.3,81.68634534,0.211493599,296.4361295,1,0.061547539,0.721342634,0.005616196,0,0,0.211493599
3077.4,2.3,81.54347534,0.214223975,339.46645,0.999758175,0.04662417,0.7295271,0.009624739,0,5.23E-05,0.21417165
3077.5,2.3,81.36334522,0.216881025,386.87255,0.995085425,0.032621503,0.744490625,0.006006792,0,0.001071893,0.215809125
3077.6,2.3025,81.15743691,0.216889025,389.78075,0.9859497,0.03212536,0.7509856,0,0,0.00305967,0.21382935
3077.7,2.31,80.93259016,0.2114454,296.057675,0.994998625,0.046936612,0.741618,0,0,0.001059986,0.210385375
3077.8,2.31,80.71823207,0.208632,256.822325,0.998342875,0.060072955,0.731295025,0,0,0.000345971,0.208286025
3077.9,2.31,80.52970313,0.208008575,249.0164,1,0.064117595,0.72787385,0,0,0,0.208008575
3078,2.31,80.40699228,0.207611225,244.149075,0.999643425,0.06392862,0.7284601,0,0,7.42E-05,0.20753705
3078.1,2.31,80.35126855,0.2083689,253.5947,0.998757125,0.06316902,0.728462,0,0,0.000258777,0.2081101
3078.2,2.31,80.37340727,0.210116827,276.8849711,0.996529239,0.064232525,0.725650651,0,0,0.000734864,0.209381929
3078.3,2.307434272,80.51476532,0.213053616,320.7172702,0.984052777,0.063951605,0.722994826,0,0,0.003408948,0.209644669
3078.4,2.3,80.72159518,0.215930071,368.758779,0.970450411,0.061674434,0.722395493,0,0,0.006381436,0.209548689
3078.5,2.3025,80.996136,0.2157592,366.364875,0.967502175,0.060446385,0.723794475,0,0,0.00701407,0.2087451
3078.6,2.31,81.33645454,0.2125355,312.5691,0.9708278,0.062604035,0.724860525,0,0,0.006200761,0.206334725
3078.7,2.3125,81.68632112,0.2074785,246.84675,0.97334585,0.068267972,0.7242535,0,0,0.005542625,0.201935875
3078.8,2.3225,82.03238925,0.198030425,155.390275,0.981126725,0.077850672,0.7241189,0,0,0.003755566,0.194274875
3078.9,2.3325,82.33370807,0.1872818,91.651275,0.991024825,0.094712762,0.718005475,0,0,0.001706835,0.18557495
3079,2.34,82.5887748,0.178167325,56.7797625,1,0.1203603,0.70147235,0,0,0,0.178167325
3079.1,2.34,82.7763586,0.175851425,50.7649625,1,0.13102485,0.693123625,0,0,0,0.175851425
3079.2,2.34,82.87175017,0.172608164,43.08689798,1,0.152185558,0.675206178,0,0,0,0.172608164
3079.3,2.34,82.91130644,0.17260965,43.17744233,1,0.165054828,0.662335448,0,0,0,0.17260965
3079.4,2.34,82.88444223,0.176906811,54.14199692,1,0.157958744,0.66513447,0,0,0,0.176906811
3079.5,2.34,82.80083021,0.183130725,72.5811425,1,0.13750655,0.679362775,0,0,0,0.183130725
3079.6,2.34,82.69366912,0.184393275,77.3182225,1,0.138282575,0.677324075,0,0,0,0.184393275
3079.7,2.3375,82.57020221,0.18733405,90.1183275,1,0.135020425,0.677645525,0,0,0,0.18733405
3079.8,2.3275,82.45542601,0.19304185,119.353925,1,0.12725945,0.6796987,0,0,0,0.19304185
3079.9,2.315,82.35879305,0.1989646,161.654825,1,0.1202111,0.6808243,0,0,0,0.1989646
3080,2.2975,82.29691695,0.2073924,246.679975,0.9971142,0.103515298,0.6890923,0,0,0.000618547,0.20677385
3080.1,2.29,82.27851499,0.215610525,365.1554,0.98615565,0.077914545,0.706474925,0,0,0.002993729,0.2126168
3080.2,2.29,82.29543018,0.219526227,440.6567891,0.97937569,0.060845043,0.719628754,0,0,0.004527533,0.214998726
3080.3,2.29,82.35914357,0.219336245,436.9262328,0.981192828,0.060335658,0.720328131,0,0,0.004127296,0.215208942
3080.4,2.29,82.45460611,0.217735765,403.2312635,0.986188152,0.067806732,0.714457459,0,0,0.003007518,0.214728269
3080.5,2.2925,82.57019139,0.21744345,397.4251,0.990611625,0.068838385,0.713718175,0,0,0.002041746,0.215401725
3080.6,2.2975,82.70216158,0.2181583,412.9196,0.99410045,0.062686613,0.71915505,0,0,0.001294117,0.216864175
3080.7,2.29,82.83545257,0.22098525,473.776425,0.9856557,0.052815495,0.726199275,0,0,0.003170065,0.2178152
3080.8,2.29,82.96617849,0.2220859,500.524075,0.9850847,0.042558948,0.7353552,0,0,0.003312227,0.218773625
3080.9,2.29,83.08809346,0.2233971,533.8547,0.984846025,0.033306683,0.743296175,0,0,0.003385696,0.22001145
