DEPTH(TVD),BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
1630.1,2.223892959,96.24413376,0.240180617,0,0,0.107052495,0,0,0,0,0
1630.2,2.227424347,96.44440452,0.238658908,0,0,0.111757156,0,0,0,0,0
1630.3,2.23139248,96.94484435,0.237936357,0,0,0.115056749,0,0,0,0,0
1630.4,2.234671557,97.26915645,0.238994632,0,0,0.114875906,0,0,0,0,0
1630.5,2.236,97.60499581,0.240857739,0,0,0.107313255,0,0,0,0,0
1630.6,2.234989452,98.15182159,0.244015873,0,0,0.09867683,0,0,0,0,0
1630.7,2.232070988,98.943552,0.248500248,0,0,0.095047473,0,0,0,0,0
1630.8,2.22773446,99.76457768,0.253593956,0,0,0.089793556,0,0,0,0,0
1630.9,2.221456376,100.5205237,0.25883925,0,0,0.085031506,0,0,0,0,0
1631,2.213337918,101.2255107,0.263826481,0,0,0.082236098,0,0,0,0,0
1631.1,2.20372349,101.7041335,0.269034872,0,0,0.076345754,0,0,0,0,0
1631.2,2.192895557,101.8766635,0.274205923,0,0,0.070990667,0,0,0,0,0
1631.3,2.182189141,102.0050926,0.27863061,0,0,0.070102891,0,0,0,0,0
1631.4,2.173043648,102.2490879,0.281548603,0,0,0.070060186,0,0,0,0,0
1631.5,2.166790069,102.4781397,0.282636799,0,0,0.068687612,0,0,0,0,0
1631.6,2.163511913,102.4625561,0.282420749,0,0,0.066328344,0,0,0,0,0
1631.7,2.163439294,102.1723652,0.280783055,0,0,0.067369381,0,0,0,0,0
1631.8,2.167282122,102.6143982,0.276670773,0,0,0.079619046,0,0,0,0,0
1631.9,2.173947176,103.8811255,0.270322986,0,0,0.102444386,0,0,0,0,0
1632,2.182400419,104.7906377,0.263177344,0,0,0.123251032,0,0,0,0,0
1632.1,2.189184996,105.0141574,0.257352559,0,0,0.138467207,0,0,0,0,0
1632.2,2.191860477,104.8806884,0.254109743,0,0,0.15066194,0,0,0,0,0
1632.3,2.189909209,104.6264372,0.254899287,0,0,0.154503967,0,0,0,0,0
1632.4,2.183550108,104.0910074,0.258527697,0,0,0.159193489,0,0,0,0,0
1632.5,2.174676558,103.3700769,0.262621251,0,0,0.173400237,0,0,0,0,0
1632.6,2.165549213,103.2230729,0.267918314,0,0,0.184755665,0,0,0,0,0
1632.7,2.158603765,103.5229129,0.273156041,0,0,0.186218127,0,0,0,0,0
1632.8,2.154353035,103.7017532,0.276931681,0,0,0.179790375,0,0,0,0,0
1632.9,2.15259634,103.8449729,0.278853725,0,0,0.166926918,0,0,0,0,0
1633,2.152527168,104.0064924,0.278705739,0,0,0.153891966,0,0,0,0,0
1633.1,2.153443537,103.9283163,0.27673618,0,0,0.14481872,0,0,0,0,0
1633.2,2.151700669,103.7889094,0.275498637,0,0,0.145532092,0,0,0,0,0
1633.3,2.146821135,103.6680114,0.276592624,0,0,0.147505447,0,0,0,0,0
1633.4,2.140247915,103.4775806,0.280011104,0,0,0.14099514,0,0,0,0,0
1633.5,2.137525846,103.2791287,0.279711287,0,0,0.135267769,0,0,0,0,0
1633.6,2.143180252,103.1488933,0.274882655,0,0,0.132100805,0,0,0,0,0
1633.7,2.15923622,103.146736,0.267491568,0,0,0.128122032,0,0,0,0,0
1633.8,2.181504169,103.0154221,0.2593867,0,0,0.1206542,0,0,0,0,0
1633.9,2.202376494,102.7278942,0.253186616,0,0,0.109890635,0,0,0,0,0
1634,2.216999873,102.3132887,0.250841665,0,0,0.096530215,0,0,0,0,0
1634.1,2.219850934,101.4752368,0.253517943,0,0,0.085252484,0,0,0,0,0
1634.2,2.216802093,100.44852,0.258068619,0,0,0.079735877,0,0,0,0,0
1634.3,2.214710816,99.95915496,0.261463778,0,0,0.083481818,0,0,0,0,0
1634.4,2.215483983,100.131675,0.26402741,0,0,0.090149859,0,0,0,0,0
1634.5,2.216271416,100.683959,0.266265705,0,0,0.097261499,0,0,0,0,0
1634.6,2.212340997,101.28169,0.26797715,0,0,0.107737103,0,0,0,0,0
1634.7,2.207068815,101.5561929,0.266749515,0,0,0.12683695,0,0,0,0,0
1634.8,2.207698301,101.7001592,0.260662299,0,0,0.156265237,0,0,0,0,0
1634.9,2.228712211,101.9240408,0.244002244,0,0,0.204567492,0,0,0,0,0
1635,2.273408946,102.2565723,0.214552814,0,0,0.274725177,0,0,0,0,0
1635.1,2.331401907,102.6287,0.178362458,0,0,0.359501108,0,0,0,0,0
1635.2,2.391771589,103.2686794,0.144073527,0,0,0.456886094,0,0,0,0,0
1635.3,2.433460573,104.51042,0.119950172,0,0,0.535756604,0,0,0,0,0
1635.4,2.455241982,105.9863285,0.105490915,0,0,0.59277281,0,0,0,0,0
1635.5,2.45359287,107.1110907,0.103030853,0,0,0.635559838,0,0,0,0,0
1635.6,2.439365569,107.3543048,0.105872076,0,0,0.650540911,0,0,0,0,0
1635.7,2.420108484,106.7940887,0.110373227,0,0,0.643571026,0,0,0,0,0
1635.8,2.406599926,107.406197,0.114635373,0,0,0.657521566,0,0,0,0,0
1635.9,2.396202698,107.7763374,0.115946929,0,0,0.64698138,0,0,0,0,0
1636,2.387120138,106.8283115,0.114333547,0,0,0.60155928,0,0,0,0,0
1636.1,2.387127017,105.7528238,0.113970026,0,0,0.575405735,0,0,0,0,0
