DEPTH,BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3190.8,2.413000107,74.61463999,0.1440119,21.63227081,1.0,0.1344905,0.7214976,0.0,0.0,0.0,0.1440119
3190.9,2.403000116,74.62429099,0.1536367,43.16999817,1.0,0.08927421,0.7570891,0.0,0.0,0.0,0.1536367
3191.0,2.377000093,74.62297207,0.1668019,111.0827026,1.0,0.04013091,0.7930672,0.0,0.0,0.0,0.1668019
3191.1,2.367000103,74.60748835,0.1715022,155.6658936,1.0,0.02029217,0.8082057,0.0,0.0,0.0,0.1715022
3191.2,2.371999979,74.58487796,0.1714296,154.8567047,1.0,0.02098174,0.8075887,0.0,0.0,0.0,0.1714296
3191.3,2.388999939,74.56160291,0.1579416,58.80342102,1.0,0.07095489,0.7711034,0.0,0.0,0.0,0.1579416
3191.4,2.403000116,74.5538761,0.15655,53.21239853,1.0,0.04879733,0.7385231,0.05612965,0.0,0.0,0.15655
3191.5,2.382999897,74.57670104,0.1681464,122.3398972,1.0,0.003050866,0.8288027,0.0,0.0,0.0,0.1681464
3191.6,2.354000092,74.62972141,0.1752412,203.5953979,1.0,0.0,0.8247588,0.0,0.0,0.0,0.1752412
3191.7,2.355999947,74.74046934,0.172657,169.1208038,1.0,0.0,0.827343,0.0,0.0,0.0,0.172657
3191.8,2.369999886,74.88782087,0.1625015,81.57749939,1.0,0.03333453,0.7699253,0.03423867,0.0,0.0,0.1625015
3191.9,2.381000042,75.05697023,0.1576705,57.67005157,1.0,0.05622187,0.7548873,0.03122025,0.0,0.0,0.1576705
3192.0,2.390000105,75.21419036,0.1548204,46.99888992,1.0,0.1044179,0.7381536,0.002608105,0.0,0.0,0.1548204
3192.1,2.398999929,75.3258939,0.1575627,57.22512054,1.0,0.0931742,0.7343969,0.01486623,0.0,0.0,0.1575627
3192.2,2.375,75.38224049,0.1677152,118.6106033,1.0,0.04984665,0.7570251,0.0254131,0.0,0.0,0.1677152
3192.3,2.365999937,75.30607084,0.1719365,160.5953064,1.0,0.05327787,0.7747857,0.0,0.0,0.0,0.1719365
3192.4,2.369999886,75.13129847,0.170835,148.3856964,1.0,0.04800417,0.7811608,0.0,0.0,0.0,0.170835
3192.5,2.375,74.87096551,0.1662232,106.5623016,1.0,0.07295666,0.7608202,0.0,0.0,0.0,0.1662232
3192.6,2.380000114,74.53713317,0.1653471,100.066803,1.0,0.06516892,0.7325425,0.0369415,0.0,0.0,0.1653471
3192.7,2.381000042,74.19894348,0.1634783,87.50351715,1.0,0.07509577,0.7349522,0.02647375,0.0,0.0,0.1634783
3192.8,2.381000042,73.89391263,0.1603674,69.98966217,1.0,0.07978563,0.7598469,0.0,0.0,0.0,0.1603674
